titulo,event_date,fecha,fecha_exacta,hora,lugar,descripcion,organizador,link
Cuentacuentos de Astronomía,20240316,Sab 16 de marzo,16 de marzo de 2024,12:00 hrs,"Piso 3, Pérgola del Jardín",,Nicolás Toro y Libro Verde,https://mut.cl/event/__trashed-11/
Aprende a pintar mariposas en acuarela junto a Javiera Gutierrez,20250511,Sábado 17 de mayo,11 de mayo de 2025,11:00,Piso -1 frente a The Color Shop,,,https://mut.cl/event/aprende-a-pintar-mariposas-en-acuarela-junto-a-javiera-gutierrez/
Taller de origami inicial junto a Factoría Papel,20250511,Sábado 17 de mayo,11 de mayo de 2025,11:00,"Piso -3, Nave Central",,,https://mut.cl/event/taller-de-origami-inicial-junto-a-factoria-papel/
Taller de Colorimetría: Descubre tus colores,20250524,Sábado 24 de mayo,24 de mayo de 2025,12:00 hrs,"Piso -1, frente a Café Aura.","¿Sabías que hay colores que pueden iluminar tu rostro, suavizar tus facciones y potenciar tu energía natural?  Te invitamos a descubrir tus colores según la poderosa teoría de las 4 estaciones, una he",Vístete Local,https://mut.cl/event/taller-de-colorimetria/
Taller Pinta con acrílicos y dale color a tu propia totebag junto a @bolsaspintadasamano,20250525,Domingo 25 de mayo,25 de mayo de 2025,11:00 hrs,Piso -1,"Te invitamos a sumergirte en un proceso creativo donde tus ideas se materializan en un accesorio único. Contaremos con materiales a tu disposición, en donde podrás llenar de vida los espacios estampad",The Color Shop,https://mut.cl/event/taller-pinta-con-acrilicos-y-dale-color-a-tu-propia-totebag-junto-a-bolsaspintadasamano/
Charla: Una nueva materialidad inspirada en la inteligencia de la naturaleza,20250529,Jueves 29 de mayo,29 de mayo de 2025,18:30 hrs,Piso -3,"En esta presentación, Hernán Rebolledo compartirá la visión de Spora, plataforma chilena de biodescubrimiento pionera en el desarrollo de nuevas materialidades a partir de hongos. A través de expedici",Spora Foundation,https://mut.cl/event/charla-una-nueva-materialidad-inspirada-en-la-inteligencia-de-la-naturaleza/
Expo Patagonia Lanas 2025,20250530,30 de Mayo al 01 de Junio,30 de mayo de 2025,,Piso 3,Participa de talleres especialmente pensados para aprender y experimentar con la lana como materia prima.,Artesanos y Artesanas de Coyhaique,https://mut.cl/event/expo-patagonia-lanas-2025/
Taller Crea tu banano rectangular con azul klein cabretilla,20250531,Sábado 31 de mayo,31 de mayo de 2025,12:00 hrs,Piso -1,Te invitamos a realizar con tus propias manos un banano rectangular con un cuero muy suave llamado Klein cabretilla. *Edad: mínimo 14 años,Ns Leather,https://mut.cl/event/taller-crea-tu-banano-rectangular-con-azul-klein-cabretilla/
Introducción a la aromaterapia y creación de un aromatizante natural personalizado,20250531,Sábado 31 de mayo,31 de mayo de 2025,11:30 hrs,Piso -1,Acompañanos en una entretenida introducción al mundo de la aromaterapia y uso de los aceites esenciales. Prepararemos un home spray natural personalizable para llevarnos a casa.,Bumi Lifestyle,https://mut.cl/event/introduccion-a-la-aromaterapia-y-creacion-de-un-aromatizante-natural-personalizado/
Taller: Aprendiendo a dibujar con hongos,20250531,Sábado 31 de mayo,31 de mayo de 2025,11:00 hrs,Piso -3,"En el marco de la exposición de [FUN]GI que se está presentando durante todo mayo en el piso -3, invitamos a todos los que sienten curiosidad por el dibujo y la naturaleza. Se entregarán todas las her","Marie Pascale Sabelle, Ilustradora",https://mut.cl/event/taller-aprendiendo-a-dibujar-con-hongos/
Taller de Yoga Facial junto a @yogafacialdakuti,20250531,Sábado 31 de mayo,31 de mayo de 2025,11:30 hrs,Piso -1,"Bom Beauty cumple 6 años, y lo celebraremos en una clase de inicio al yoga facial junto a la instructora certificada por Koko Face Yoga, The Yoga Face y Método MASC. Una experiencia para mimarte, toni",Bom Beauty,https://mut.cl/event/taller-de-yoga-facial-junto-a-yogafacialdakuti/
Taller “La magia de Chile” junto a @capricornio_demar,20250601,Domingo 1 de junio,1 de junio de 2025,11:00 hrs,Piso -1,"Te invitamos a ser parte de un encuentro creativo donde exploraremos los paisajes mágicos de Chile a través del arte y la contemplación. Usaremos “Inspirate”, el libro para colorear, como guía para re",The Color Shop,https://mut.cl/event/taller-la-magia-de-chile-junto-a-capricornio_demar/
