titulo,link,contenido,horas,fecha_texto,hora_texto,lugar,descripcion,organizador,tipo
Clases de ballet,https://mut.cl/event/clases-de-ballet/,"Clases de ballet...Te invitamos a una mañana de baile y movimiento. Este sábado 25 de octubre, a las 10:00 AM, tendremos una clase de ballet clásico pensada para todas las edades y niveles junto a Nicole Hernández.  La jornada terminará con una presentación especial del Pas de Deux de Romeo y Julieta, interpretado por bailarines invitados.  ¡Seguimos celebrando la primavera en MUT!Eventos.
",10:00,25 de octubre,10:00,Piso -3,"Te invitamos a una mañana de baile y movimiento. Este sábado 25 de octubre, a las 10:00 AM, tendremos una clase de ballet clásico pensada para todas las edades y niveles junto a Nicole Hernández.  La jornada terminará con una presentación especial del Pas de Deux de Romeo y Julieta, interpretado por bailarines invitados.  ¡Seguimos celebrando la primavera en MUT!",,event
Limitless,https://mut.cl/event/limitless/,"Limitless – Just Another AI Exhibition.Entrada liberada..La vanguardia de la innovación y la tecnología se unen en una exhibición disruptiva sobre creatividad, inteligencia artificial y un nuevo mundo digital. Eventos.
",10:00 a 20:00,09 al 19 de octubre ,10:00 a 20:00,Piso 1,"La vanguardia de la innovación y la tecnología se unen en una exhibición disruptiva sobre creatividad, inteligencia artificial y un nuevo mundo digital. ",,event
Club de Ropa,https://mut.cl/event/club-de-ropa/,"Club de Ropa...Desde el 10 al 12 de octubre, te invitamos a vivir una experiencia en torno al vestuario, la sostenibilidad y la moda circular.  Serán más de 30 expositores de Chile y Latinoamérica que traen y vuelven a dar valor a piezas importadas y recuperadas en distintas ferias y mercados.Eventos.
",11:00 a 20:00,10 al 12 de octubre ,11:00 a 20:00,Piso 1,"Desde el 10 al 12 de octubre, te invitamos a vivir una experiencia en torno al vestuario, la sostenibilidad y la moda circular.  Serán más de 30 expositores de Chile y Latinoamérica que traen y vuelven a dar valor a piezas importadas y recuperadas en distintas ferias y mercados.",,event
Feria Vinilo Garage,https://mut.cl/event/feria-vinilo-garage/,"Feria Vinilo Garage...En el Mes de la Música, ven a comprar e intercambiar vinilos con disquerías y coleccionistas que traen lo mejor de la música nacional e internacional.  Serán más de una decena de expositores que tendrán clásicos, reediciones y lanzamientos recientes.Eventos.
",11:00 a 20:00,9 al 12 de octubre ,11:00 a 20:00,Piso 1,"En el Mes de la Música, ven a comprar e intercambiar vinilos con disquerías y coleccionistas que traen lo mejor de la música nacional e internacional.  Serán más de una decena de expositores que tendrán clásicos, reediciones y lanzamientos recientes.",,event
Concierto de primavera,https://mut.cl/event/concierto-de-primavera/,"Concierto de primavera...Ven a cerrar este fin de semana junto a nosotros con un concierto de música inspirada en la primavera. Será una selección de piezas clásicas y contemporáneas para celebrar el renacer de la estación. Abierto a público.Eventos.
",17:00,12 de octubre,17:00,Piso 3,Ven a cerrar este fin de semana junto a nosotros con un concierto de música inspirada en la primavera. Será una selección de piezas clásicas y contemporáneas para celebrar el renacer de la estación. Abierto a público.,,event
Malón de barrio,https://mut.cl/event/malon-de-barrio/,"Malón de barrio...Te invitamos a celebrar la llegada de la primavera con una gran mesa común en el Mercado para compartir en coMUTnidad. Tendremos degustaciones de distintas cocinerías y restaurantes, música, flores y más. Trae tu energía, tu mejor plato o algo rico que encuentres en MUT y súmate a la fiesta. ¡Celebremos juntos el renacer de la naturaleza y la ciudad!Eventos.
",11:30,5 de octubre,11:30,Piso -2,"Te invitamos a celebrar la llegada de la primavera con una gran mesa común en el Mercado para compartir en coMUTnidad. Tendremos degustaciones de distintas cocinerías y restaurantes, música, flores y más. Trae tu energía, tu mejor plato o algo rico que encuentres en MUT y súmate a la fiesta. ¡Celebremos juntos el renacer de la naturaleza y la ciudad!",,event
Mercado Primavera,https://mut.cl/event/mercado-primavera/,"Mercado Primavera...Reunimos a expositores que ofrecen todo lo que necesita para conectar con la estación: semillas, bulbos, almácigos, flores de corte, artesanías y diseño, todo inspirado en la naturaleza y la primavera.Eventos.
",11:00 a 20:00,4 y 5 de octubre,11:00 a 20:00,Piso 3,"Reunimos a expositores que ofrecen todo lo que necesita para conectar con la estación: semillas, bulbos, almácigos, flores de corte, artesanías y diseño, todo inspirado en la naturaleza y la primavera.",,event
Fonda MUT,https://mut.cl/event/fonda-mut/,"Fonda MUT..IMPORTANTE: 18 y 19 de septiembre, MUT estará cerrado por feriado irrenunciable..Celebremos en comunidad durante todo el mes con música en vivo, grupos de baile, clases de cueca, talleres y los clásicos juegos tradicionales que hacen que septiembre sea entretenido y distinto. Revisa la programación completa en nuestras redes sociales.Eventos.
",,12 al 21 de septiembre,,Todo MUT,"Celebremos en comunidad durante todo el mes con música en vivo, grupos de baile, clases de cueca, talleres y los clásicos juegos tradicionales que hacen que septiembre sea entretenido y distinto. Revisa la programación completa en nuestras redes sociales.",MUT,event
Pan Comido,https://mut.cl/event/pan-comido/,"Pan Comido...En MUT queremos celebrar el pan como alimento, símbolo de encuentro y tradición. Por eso creamos Pan Comido, que se realizará el 23 y 24 de agosto.  Súmate a este encuentro donde además tendremos talleres, exhibiciones artísticas, conversaciones, todo con el pan como protagonista.Eventos.
",,23 y 24 de agosto,,Piso 1,"En MUT queremos celebrar el pan como alimento, símbolo de encuentro y tradición. Por eso creamos Pan Comido, que se realizará el 23 y 24 de agosto.  Súmate a este encuentro donde además tendremos talleres, exhibiciones artísticas, conversaciones, todo con el pan como protagonista.",Pan Comido,event
Puro Pisco,https://mut.cl/event/puro-pisco/,"Encuentro Puro Pisco...Este 14, 15 y 16 de agosto, ven a descubrir la identidad del pisco chileno en Puro Pisco, evento en el que reuniremos más de 30 pisqueras de las regiones de Atacama y Coquimbo para mostrar la diversidad del destilado nacional, con degustaciones, coctelería y talleres para aprender a catar y preparar tragos que puedes hacer en tu casa.Eventos.
",,14 al 16 de agosto,,Piso 2,"Este 14, 15 y 16 de agosto, ven a descubrir la identidad del pisco chileno en Puro Pisco, evento en el que reuniremos más de 30 pisqueras de las regiones de Atacama y Coquimbo para mostrar la diversidad del destilado nacional, con degustaciones, coctelería y talleres para aprender a catar y preparar tragos que puedes hacer en tu casa.",Puro Pisco,event
Interludio CNC,https://mut.cl/event/interludio-cnc/,"Interludio Clásica No Convencional...En esta edición de CNC Interludio, te invitamos a un viaje íntimo por las emociones que dieron vida a las composiciones de Vivaldi y Beethoven. Junto a las grandes compositoras chilenas Tamara Miller y Lucía Jiménez.Eventos.
",,09 de Agosto,,Piso 2,"En esta edición de CNC Interludio, te invitamos a un viaje íntimo por las emociones que dieron vida a las composiciones de Vivaldi y Beethoven. Junto a las grandes compositoras chilenas Tamara Miller y Lucía Jiménez.",Clásica No Convencional,event
Expo Patagonia Lanas 2025,https://mut.cl/event/expo-patagonia-lanas-2025/,"Talleres Expo Patagonia Lanas 2025...Participa de talleres especialmente pensados para aprender y experimentar con la lana como materia prima. Eventos.
",,30 de Mayo al 01 de Junio,,Piso 3,Participa de talleres especialmente pensados para aprender y experimentar con la lana como materia prima. ,Artesanos y Artesanas de Coyhaique,event
Charla: Introducción al Reino Fungi,https://mut.cl/event/charla-introduccion-al-reino-fungi/,"Charla: Introducción al Reino Fungi.Por Dr. Carlos Andrés Gil, Biotecnólogo y microbiólogo..En el marco de la exposición [FUN]GI, esta charla invita a explorar y profundizar en el reino fungi desde una mirada científica. A cargo del Dr. Carlos Andrés Gil, la instancia abordará conceptos fundamentales sobre la estructura, fisiología y comportamiento de los hongos, así como su rol esencial en el equilibrio ecológico. Una actividad pensada para quienes buscan comprender la profundidad y relevancia de estos organismos como sostenedores de la vida y regulación de los ecosistemas.Talleres y cursos.
",12:00,Domingo 1 de junio,12:00 hrs,Piso -3,"En el marco de la exposición [FUN]GI, esta charla invita a explorar y profundizar en el reino fungi desde una mirada científica. A cargo del Dr. Carlos Andrés Gil, la instancia abordará conceptos fundamentales sobre la estructura, fisiología y comportamiento de los hongos, así como su rol esencial en el equilibrio ecológico. Una actividad pensada para quienes buscan comprender la profundidad y relevancia de estos organismos como sostenedores de la vida y regulación de los ecosistemas.","Dr. Carlos Andrés Gil, Biotecnólogo y microbiólogo",event
Taller: Aprendiendo a dibujar con hongos,https://mut.cl/event/taller-aprendiendo-a-dibujar-con-hongos/,"Taller: Aprendiendo a dibujar con hongos.Por Marie Pascale Sabelle, Ilustradora..En el marco de la exposición de [FUN]GI que se está presentando durante todo mayo en el piso -3, invitamos a todos los que sienten curiosidad por el dibujo y la naturaleza. Se entregarán todas las herramientas para que puedan retratar la belleza de los hongos de una manera realista y armónica. *Edad mínima: 16 años *Incluye todos los materialesTalleres y cursos.
",11:00,Sábado 31 de mayo,11:00 hrs,Piso -3,"En el marco de la exposición de [FUN]GI que se está presentando durante todo mayo en el piso -3, invitamos a todos los que sienten curiosidad por el dibujo y la naturaleza. Se entregarán todas las herramientas para que puedan retratar la belleza de los hongos de una manera realista y armónica. *Edad mínima: 16 años *Incluye todos los materiales","Marie Pascale Sabelle, Ilustradora",event
Charla: Una nueva materialidad inspirada en la inteligencia de la naturaleza,https://mut.cl/event/charla-una-nueva-materialidad-inspirada-en-la-inteligencia-de-la-naturaleza/,"Charla: Una nueva materialidad inspirada en la inteligencia de la naturaleza.Por Spora Foundation..En esta presentación, Hernán Rebolledo compartirá la visión de Spora, plataforma chilena de biodescubrimiento pionera en el desarrollo de nuevas materialidades a partir de hongos. A través de expediciones científicas en ecosistemas de alto valor ecológico, Spora transforma el potencial del micelio en una nueva categoría de materiales sostenibles, con aplicaciones en diseño, arquitectura y mucho más. Una oportunidad para conocer cómo la innovación, la tecnología y la biodiversidad pueden converger para proponer soluciones regenerativas desde el sur del mundo.
",18:30,Jueves 29 de mayo,18:30 hrs,Piso -3,"En esta presentación, Hernán Rebolledo compartirá la visión de Spora, plataforma chilena de biodescubrimiento pionera en el desarrollo de nuevas materialidades a partir de hongos. A través de expediciones científicas en ecosistemas de alto valor ecológico, Spora transforma el potencial del micelio en una nueva categoría de materiales sostenibles, con aplicaciones en diseño, arquitectura y mucho más. Una oportunidad para conocer cómo la innovación, la tecnología y la biodiversidad pueden converger para proponer soluciones regenerativas desde el sur del mundo.",Spora Foundation,event
Taller “La magia de Chile” junto a @capricornio_demar,https://mut.cl/event/taller-la-magia-de-chile-junto-a-capricornio_demar/,"Taller “La magia de Chile” junto a @capricornio_demar.Por The Color Shop..Te invitamos a ser parte de un encuentro creativo donde exploraremos los paisajes mágicos de Chile a través del arte y la contemplación. Usaremos “Inspirate”, el libro para colorear, como guía para reconectar con la naturaleza y despertar nuestra creatividad interior. *No se necesitan conocimientos previos. *Incluye todos los materiales.
",11:00,Domingo 1 de junio,11:00 hrs,Piso -1,"Te invitamos a ser parte de un encuentro creativo donde exploraremos los paisajes mágicos de Chile a través del arte y la contemplación. Usaremos “Inspirate”, el libro para colorear, como guía para reconectar con la naturaleza y despertar nuestra creatividad interior. *No se necesitan conocimientos previos. *Incluye todos los materiales.",The Color Shop,event
Taller Crea tu banano rectangular con azul klein cabretilla,https://mut.cl/event/taller-crea-tu-banano-rectangular-con-azul-klein-cabretilla/,"Taller Crea tu banano rectangular con azul klein cabretilla.Por Ns Leather..Te invitamos a realizar con tus propias manos un banano rectangular con un cuero muy suave llamado Klein cabretilla. *Edad: mínimo 14 años
",12:00,Sábado 31 de mayo,12:00 hrs,Piso -1,Te invitamos a realizar con tus propias manos un banano rectangular con un cuero muy suave llamado Klein cabretilla. *Edad: mínimo 14 años,Ns Leather,event
Introducción a la aromaterapia y creación de un aromatizante natural personalizado,https://mut.cl/event/introduccion-a-la-aromaterapia-y-creacion-de-un-aromatizante-natural-personalizado/,"Introducción a la aromaterapia y creación de un aromatizante natural personalizado.Por Bumi Lifestyle..Acompañanos en una entretenida introducción al mundo de la aromaterapia y uso de los aceites esenciales. Prepararemos un home spray natural personalizable para llevarnos a casa.
",11:30,Sábado 31 de mayo,11:30 hrs,Piso -1,Acompañanos en una entretenida introducción al mundo de la aromaterapia y uso de los aceites esenciales. Prepararemos un home spray natural personalizable para llevarnos a casa.,Bumi Lifestyle,event
