titulo,content,link,rss,horario,web,url_web,lugar,nivel,local,telefono,mail,tipo,texto_embedding,document_type,search_category
Infinity Soul,"¿Qué es Infinity Soul?..Nos enfocamos en entregar bienestar y conexión interior a través de nuestra metodología única de Gimnasia facial, creada desde la base de la kinesiología maxilofacial e integrativa. Nuestro enfoque holístico busca no solo mejorar la apariencia estética de nuestro rostro, sino también promover un estado de equilibrio y armonía en cada persona. Reduce arrugas, tonifica y mejora la calidad de la piel mientras disfrutas de una experiencia única de bienestar. .Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffffBelleza.",https://mut.cl/tiendas/infinity-soul/,https://www.instagram.com/espacioinfinitysoul,L-D: 10:00 - 20:00,www.infinitysoul.cl,http://www.infinitysoul.cl,Nivel -3,-3,,,,Tienda,"TIPO: Tienda | TIENDA: Infinity Soul | ¿Qué es Infinity Soul?..Nos enfocamos en entregar bienestar y conexión interior a través de nuestra metodología única de Gimnasia facial, creada desde la base de la kinesiología maxilofacial e integrativa. Nuestro enfoque holístico busca no solo mejorar la apariencia estética de nuestro rostro, sino también promover un estado de equilibrio y armonía en cada persona. Reduce arrugas, tonifica y mejora la calidad de la piel mientras disfrutas de una experiencia única de bienestar. .Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffffBelleza. | UBICACION: Nivel -3 - Nivel -3 | HORARIO: L-D: 10:00 - 20:00 | CONTACTO: Web: www.infinitysoul.cl",tienda,comercios_y_tiendas
More Amor,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es More Amor?..Existimos por un propósito: promover el arte para así darle el valor que se merece. Detrás de cada diseño, en colaboración con artistas, hay una persona, una mente creativa que, con base en sus distintas experiencias, logra interpretar una idea o concepto que está dentro de su imaginario..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Ropa.Tienda.Urbano.",https://mut.cl/tiendas/more-amor/,https://www.instagram.com/moreamorcl/; https://www.tiktok.com/@moreamorcl,L-D: 10:00 - 20:00,www.moreamor.cl,https://moreamor.cl/,Nivel -1,-1,,,,Tienda,"TIPO: Tienda | TIENDA: More Amor | Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es More Amor?..Existimos por un propósito: promover el arte para así darle el valor que se merece. Detrás de cada diseño, en colaboración con artistas, hay una persona, una mente creativa que, con base en sus distintas experiencias, logra interpretar una idea o concepto que está dentro de su imaginario..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Ropa.Tienda.Urbano. | UBICACION: Nivel -1 - Nivel -1 | HORARIO: L-D: 10:00 - 20:00 | CONTACTO: Web: www.moreamor.cl",tienda,comercios_y_tiendas
Disquería Chilena,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Disquería Chilena?..Disquería Chilena es la principal tienda de discos y material sobre artistas nacionales, impulsada por SCD y que cuenta con el más grande catálogo de música chilena. El espacio ofrece una completa experiencia a sus visitantes, donde la música se puede escuchar, ver y sentir. Aquí encuentras vinilos, CDs, casetes, libros y merchandising de lo mejor de nuestra música..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Música.",https://mut.cl/tiendas/disqueria-chilena/,https://www.instagram.com/disqueria_chilena?igshid=oyiqytiagoph; https://www.facebook.com/disqueriachilena/; https://www.tiktok.com/@disqueria_chilena,L-D: 10:00 - 20:00,www.disqueriachilena.cl,https://disqueriachilena.cl/,Nivel 3,3,23,,,Tienda,"TIPO: Tienda | TIENDA: Disquería Chilena | Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Disquería Chilena?..Disquería Chilena es la principal tienda de discos y material sobre artistas nacionales, impulsada por SCD y que cuenta con el más grande catálogo de música chilena. El espacio ofrece una completa experiencia a sus visitantes, donde la música se puede escuchar, ver y sentir. Aquí encuentras vinilos, CDs, casetes, libros y merchandising de lo mejor de nuestra música..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra | UBICACION: Nivel 3 - Nivel 3 - Local 23 | HORARIO: L-D: 10:00 - 20:00 | CONTACTO: Web: www.disqueriachilena.cl",tienda,comercios_y_tiendas
Casa de las Infusiones,"¿Qué es Casa de las Infusiones?..Casa de las Infusiones es un refugio para los amantes del té. Reunimos marcas de prestigio internacional como Basilur, Botánica Gourmet y Sensorial, ofreciendo un ambiente elegante y acogedor para vivir la experiencia del té en toda su esencia, aroma y sabor..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Servicios.Tienda.",https://mut.cl/tiendas/casa-de-las-infusiones/,https://www.instagram.com/casadelasinfusiones.cl/; https://www.facebook.com/profile.php?id=100068120148870,L-D: 10:00 - 20:00,,,Nivel -2,-2,,,,Tienda,"TIPO: Tienda | TIENDA: Casa de las Infusiones | ¿Qué es Casa de las Infusiones?..Casa de las Infusiones es un refugio para los amantes del té. Reunimos marcas de prestigio internacional como Basilur, Botánica Gourmet y Sensorial, ofreciendo un ambiente elegante y acogedor para vivir la experiencia del té en toda su esencia, aroma y sabor..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..Servicios.Tienda. | UBICACION: Nivel -2 - Nivel -2 | HORARIO: L-D: 10:00 - 20:00",tienda,comercios_y_tiendas
Lodoro,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Lodoro?..LODORO es mucho más que una perfumería. LODORO es un lugar donde podrás vivir momentos olfativos inolvidables y descubrir fragancias únicas que despertarán recuerdos y emociones. Un rincón para aprender, experimentar y vivir una experiencia sensorial que dejará una huella inolvidable. .Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Cosmética.Tienda.",https://mut.cl/tiendas/lodoro/,https://www.instagram.com/lodoroperfumes.cl/; https://www.facebook.com/lodoro.cl,L-S: 10:00 - 20:00 D & F: 10:00 - 19:00,www.lodoro.cl,https://www.lodoro.cl/,Nivel -3,-3,,,,Tienda,"TIPO: Tienda | TIENDA: Lodoro | Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Lodoro?..LODORO es mucho más que una perfumería. LODORO es un lugar donde podrás vivir momentos olfativos inolvidables y descubrir fragancias únicas que despertarán recuerdos y emociones. Un rincón para aprender, experimentar y vivir una experiencia sensorial que dejará una huella inolvidable. .Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Cosmética.Tienda. | UBICACION: Nivel -3 - Nivel -3 | HORARIO: L-S: 10:00 - 20:00 D & F: 10:00 - 19:00 | CONTACTO: Web: www.lodoro.cl",tienda,comercios_y_tiendas
Ucon Acrobatics,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Ucon Acrobatics?..UCON ACROBATICS une la pasión por el diseño creativo con un mindset de sustentabilidad. Mochilas y bananos creados en Alemania que trascienden temporadas y modas pasajeras. “Diseño minimalista, mínimas emisiones”. Este enfoque se basa en la convicción de que nada debería verse perjudicado por un producto de calidad: ni las personas, ni el medio ambiente. MINIMALISMO + CREATIVIDAD + SOSTENIBILIDAD.Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Accesorios.Tienda.",https://mut.cl/tiendas/ucon-acrobatics/,https://www.instagram.com/upgrade_brands/; https://www.facebook.com/upgradebrands/,L-S: 10:00 - 20:00,Sitio Ucon Acrobatics,https://upgradebrands.cl/pages/ucon-acrobatics,Nivel -1,-1,,,,Tienda,"TIPO: Tienda | TIENDA: Ucon Acrobatics | Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Ucon Acrobatics?..UCON ACROBATICS une la pasión por el diseño creativo con un mindset de sustentabilidad. Mochilas y bananos creados en Alemania que trascienden temporadas y modas pasajeras. “Diseño minimalista, mínimas emisiones”. Este enfoque se basa en la convicción de que nada debería verse perjudicado por un producto de calidad: ni las personas, ni el medio ambiente. MINIMALISMO + CREATIVIDAD + SOSTENIBILIDAD.Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita  | UBICACION: Nivel -1 - Nivel -1 | HORARIO: L-S: 10:00 - 20:00 | CONTACTO: Web: Sitio Ucon Acrobatics",tienda,comercios_y_tiendas
Mimi,"¿Qué es Mimi?..Mimi es un espacio de belleza que fusiona bienestar y estilo. Ofrecemos rituales capilares, coloración, styling, manicure y pedicure en un ambiente acogedor, con productos profesionales y atención personalizada para que te sientas y te veas increíble..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffffBelleza.Peluquería.",https://mut.cl/tiendas/mimi/,https://www.instagram.com/mimisalon.cl/; https://www.facebook.com/mimisalon.cl,L-D: 10:00 - 20:00,www.mimi.cl,https://mimi.cl/,Nivel -3,-3,,,,Tienda,"TIPO: Tienda | TIENDA: Mimi | ¿Qué es Mimi?..Mimi es un espacio de belleza que fusiona bienestar y estilo. Ofrecemos rituales capilares, coloración, styling, manicure y pedicure en un ambiente acogedor, con productos profesionales y atención personalizada para que te sientas y te veas increíble..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffffBelleza.Peluquería. | UBICACION: Nivel -3 - Nivel -3 | HORARIO: L-D: 10:00 - 20:00 | CONTACTO: Web: www.mimi.cl",tienda,comercios_y_tiendas
Socks Lab,"Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Socks Lab?..Desde 2017, Socks Lab se ha consolidado como una marca chilena en constante innovación. Diseña calcetines originales y de alta calidad para expresar tu estilo con actitud. Confeccionados con 80% algodón peinado y sin costuras, sus diseños van desde clásicos como las paltas hasta licencias como 31 Minutos. .Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Accesorios.Tienda.",https://mut.cl/tiendas/socks-lab/,https://www.instagram.com/socks_lab/; https://www.facebook.com/Sockslabchile,L-S: 10:00 - 20:00,www.sockslab.cl,https://sockslab.cl/,Nivel -1,-1,,,,Tienda,"TIPO: Tienda | TIENDA: Socks Lab | Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Socks Lab?..Desde 2017, Socks Lab se ha consolidado como una marca chilena en constante innovación. Diseña calcetines originales y de alta calidad para expresar tu estilo con actitud. Confeccionados con 80% algodón peinado y sin costuras, sus diseños van desde clásicos como las paltas hasta licencias como 31 Minutos. .Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Accesorios.Tienda. | UBICACION: Nivel -1 - Nivel -1 | HORARIO: L-S: 10:00 - 20:00 | CONTACTO: Web: www.sockslab.cl",tienda,comercios_y_tiendas
Madison,Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Madison?..Te invitamos a vivir una experiencia olfativa y visual con nuestra delicada curatoría de fragancias ambientales..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Accesorios.Tienda.,https://mut.cl/tiendas/madison/,https://www.instagram.com/madison.y.co/?hl=es; https://www.facebook.com/profile.php?id=100067441071631&locale=cs_CZ,L-S: 10:00 - 20:00,www.madisonyco.cl,https://madisonyco.cl/,Nivel 3,3,,,,Tienda,TIPO: Tienda | TIENDA: Madison | Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es Madison?..Te invitamos a vivir una experiencia olfativa y visual con nuestra delicada curatoría de fragancias ambientales..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Accesorios.Tienda. | UBICACION: Nivel 3 - Nivel 3 | HORARIO: L-S: 10:00 - 20:00 | CONTACTO: Web: www.madisonyco.cl,tienda,comercios_y_tiendas
One Aco,Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es One Aco?..Equipamiento outdoor. Traemos las mejores marcas para que tu experiencia en la Patagonia sea inolvidable..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Deporte.,https://mut.cl/tiendas/one-aco/,https://www.instagram.com/oneacochile/?hl=es; https://www.facebook.com/oneaco,L-S: 10:00 - 20:00,,,Nivel -1,-1,,,,Tienda,TIPO: Tienda | TIENDA: One Aco | Quiénes somos.¿Qué es Adidas?.La tienda más grande de Adidas Originals en Chile. Celebrando la originalidad desde 1972. Remezclando el pasado. Creando el futuro..¿Qué es One Aco?..Equipamiento outdoor. Traemos las mejores marcas para que tu experiencia en la Patagonia sea inolvidable..Te podría interesar.Descubre que otras tiendas o espacios de MUT podrían ser de tu interés. Visita nuestro mercado y encuentra todo aquello que necesitas..#ffffff.0Deporte. | UBICACION: Nivel -1 - Nivel -1 | HORARIO: L-S: 10:00 - 20:00,tienda,comercios_y_tiendas
